[2023-07-25 20:22:57,086] [INFO] Set up nlp object from config
[2023-07-25 20:22:57,099] [INFO] Pipeline: ['tok2vec', 'ner']
[2023-07-25 20:22:57,102] [INFO] Created vocabulary
[2023-07-25 20:22:58,592] [INFO] Added vectors: de_core_news_lg
[2023-07-25 20:22:58,593] [INFO] Finished initializing nlp object
[2023-07-25 20:23:02,404] [INFO] Initialized pipeline components: ['tok2vec', 'ner']
[38;5;4mℹ Saving to output directory: /veld/output/1/m1[0m
[38;5;4mℹ Using CPU[0m
[1m
=========================== Initializing pipeline ===========================[0m
[38;5;2m✔ Initialized pipeline[0m
[1m
============================= Training pipeline =============================[0m
[38;5;4mℹ Pipeline: ['tok2vec', 'ner'][0m
[38;5;4mℹ Initial learn rate: 0.001[0m
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
199   31800       2727.70    167.77   74.97   71.68   78.59    0.75
200   32000       5285.03    278.02   73.94   73.35   74.54    0.74
202   32200       5125.36    213.18   74.52   74.36   74.69    0.75
203   32400       3559.00    212.14   75.04   74.44   75.64    0.75
204   32600       5322.25    237.99   73.82   73.98   73.66    0.74
206   32800       4506.31    208.44   75.04   74.65   75.42    0.75
207   33000       3729.73    244.83   74.71   72.51   77.04    0.75
208   33200       4027.33    243.38   74.65   74.76   74.54    0.75
210   33400       2587.92    207.12   74.36   75.55   73.22    0.74
211   33600       4596.87    245.02   74.59   75.32   73.88    0.75
212   33800       4065.70    245.87   74.83   74.62   75.06    0.75
214   34000       3122.17    199.79   74.62   73.97   75.28    0.75
215   34200       3288.44    214.45   74.49   73.58   75.42    0.74
216   34400       3852.89    189.59   74.99   75.30   74.69    0.75
218   34600       3437.19    227.67   73.70   75.29   72.19    0.74
219   34800       6455.94    231.49   74.74   75.24   74.25    0.75
220   35000      10815.92    224.19   74.44   74.41   74.47    0.74
221   35200       3996.39    233.27   72.51   74.57   70.57    0.73
223   35400       3956.02    228.58   74.63   74.06   75.20    0.75
224   35600       7295.86    264.68   74.65   73.90   75.42    0.75
225   35800       6103.12    242.71   74.88   73.38   76.45    0.75
227   36000       3559.50    187.74   73.78   72.55   75.06    0.74
228   36200       4088.69    243.14   74.84   73.77   75.94    0.75
229   36400       4014.74    190.46   73.75   75.54   72.04    0.74
231   36600       3121.33    192.95   74.14   72.70   75.64    0.74
232   36800       2517.46    180.88   74.13   74.91   73.36    0.74
233   37000       2997.88    205.19   74.72   73.47   76.01    0.75
235   37200       6297.20    182.55   74.81   73.51   76.16    0.75
236   37400      14075.94    252.84   74.88   74.21   75.57    0.75
